subject,predicate,object,sentence,confidence,method
Knowledge Graph,is_a,物理,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Knowledge Graph,is_a,世界,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Knowledge Graph,is_a,概念,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
知识图谱,is_a,结构化,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
知识图谱,is_a,语义,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
知识图谱,is_a,知识库,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
知识图谱,is_a,符号,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
知识图谱,is_a,物理,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
知识图谱,is_a,世界,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
知识图谱,is_a,概念,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
问题,includes,融合,问题包括知识抽取精确性融合和加工挑战,0.8,pattern
问题,includes,加工,问题包括知识抽取精确性融合和加工挑战,0.8,pattern
问题,includes,精确性,问题包括知识抽取精确性融合和加工挑战,0.8,pattern
问题,includes,挑战,问题包括知识抽取精确性融合和加工挑战,0.8,pattern
问题,includes,知识抽取,问题包括知识抽取精确性融合和加工挑战,0.8,pattern
图谱,composed_of,谷歌,知识图谱由谷歌于2012年提出,0.8,pattern
图谱,composed_of,2012年,知识图谱由谷歌于2012年提出,0.8,pattern
知识图谱,composed_of,谷歌,知识图谱由谷歌于2012年提出,0.8,pattern
知识图谱,composed_of,2012年,知识图谱由谷歌于2012年提出,0.8,pattern
搜索引擎,composed_of,三元组,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
搜索引擎,composed_of,数据层,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
搜索引擎,composed_of,表示法,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
搜索引擎,composed_of,数据,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
搜索引擎,composed_of,模式,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
搜索引擎,composed_of,事实,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
三元组,used_for,数据层,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
三元组,used_for,数据,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
三元组,used_for,模式,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
三元组,used_for,事实,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
搜索引擎,used_for,数据层,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
搜索引擎,used_for,数据,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
搜索引擎,used_for,模式,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
搜索引擎,used_for,事实,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
表示法,used_for,数据层,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
表示法,used_for,数据,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
表示法,used_for,模式,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
表示法,used_for,事实,主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识,0.8,pattern
概念,implements,语义,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
概念,implements,全面,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
概念,implements,深度,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
概念,implements,语义搜索,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
网页,implements,语义,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
网页,implements,全面,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
网页,implements,深度,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
网页,implements,语义搜索,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
链接,implements,语义,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
链接,implements,全面,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
链接,implements,深度,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
链接,implements,语义搜索,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
用户,implements,语义,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
用户,implements,全面,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
用户,implements,深度,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
用户,implements,语义搜索,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
主题,implements,语义,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
主题,implements,全面,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
主题,implements,深度,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
主题,implements,语义搜索,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
检索,implements,语义,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
检索,implements,全面,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
检索,implements,深度,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
检索,implements,语义搜索,支持从网页链接到概念链接的过渡，允许用户通过主题进行检索，实现全面和深度的语义搜索,0.8,pattern
知识图谱,是一种,结构化的语义知识库,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系。,0.9,openai
知识图谱,由...提出,谷歌,知识图谱由谷歌于2012年提出。,0.9,openai
知识图谱,用于,增强搜索引擎,知识图谱主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识。,0.9,openai
知识图谱,包括,三元组表示法,知识图谱主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识。,0.9,openai
知识图谱,包括,数据层,知识图谱主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识。,0.9,openai
知识图谱,包括,模式层,知识图谱主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识。,0.9,openai
知识图谱,涉及,知识抽取融合加工等关键技术,知识图谱由谷歌于2012年提出。主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识。涉及知识抽取融合加工等关键技术。,0.9,openai
知识图谱,应用于,"Google, Wolfram Alpha等","知识图谱由谷歌于2012年提出。主要用于增强搜索引擎，由三元组表示法组成，用于数据层和模式层存储事实和知识。应用包括Google, Wolfram Alpha等。",0.9,openai
图谱,is_a,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
图谱,is_a,语义网,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
图谱,is_a,语义网络,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
图谱,is_a,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
文章,is_a,语义,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
文章,is_a,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
文章,is_a,语义网,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
文章,is_a,语义网络,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
文章,is_a,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
关系,is_a,语义,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
关系,is_a,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
关系,is_a,语义网,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
关系,is_a,语义网络,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
关系,is_a,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络连接,is_a,语义,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络连接,is_a,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络连接,is_a,语义网,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络连接,is_a,语义网络,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络连接,is_a,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
信息,is_a,语义,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
信息,is_a,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
信息,is_a,语义网,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
信息,is_a,语义网络,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
信息,is_a,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
代表,is_a,语义,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
代表,is_a,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
代表,is_a,语义网,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
代表,is_a,语义网络,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
代表,is_a,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
实体,is_a,语义,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
实体,is_a,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
实体,is_a,语义网,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
实体,is_a,语义网络,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
实体,is_a,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络,is_a,语义,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络,is_a,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络,is_a,语义网,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络,is_a,语义网络,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络,is_a,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
知识图谱,is_a,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
知识图谱,is_a,语义网,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
知识图谱,is_a,语义网络,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
知识图谱,is_a,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
图谱,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
图谱,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
文章,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
文章,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
关系,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
关系,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络连接,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络连接,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
信息,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
信息,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
代表,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
代表,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
实体,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
实体,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
语义,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
语义,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
网络,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
知识图谱,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
知识图谱,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
语义网,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
语义网,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
语义网络,implements,行业,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
语义网络,implements,语义搜索,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用,0.8,pattern
知识图谱,is_a,关系网络,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络。,0.9,openai
知识图谱,includes,实体,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络。,0.8,openai
知识图谱,includes,关系,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络。,0.8,openai
知识图谱,implements,行业应用,文章介绍知识图谱作为关系网络连接信息，代表实体及关系，是语义网络，实现语义搜索和行业应用。,0.9,openai
知识图谱,composed_of,通用知识图谱,包括通用和行业知识图谱的实现与使用。,0.8,openai
知识图谱,composed_of,行业知识图谱,包括通用和行业知识图谱的实现与使用。,0.8,openai
通用知识图谱,used_for,搜索推荐问答金融社交等场景,讨论通用和行业知识图谱在搜索推荐问答金融社交等场景的应用。,0.9,openai
行业知识图谱,used_for,搜索推荐问答金融社交等场景,讨论通用和行业知识图谱在搜索推荐问答金融社交等场景的应用。,0.9,openai
知识图谱,affects,知识建模,详细描述知识建模抽取融合存储及应用。,0.7,openai
知识图谱,affects,知识抽取,详细描述知识建模抽取融合存储及应用。,0.7,openai
知识图谱,affects,知识融合,详细描述知识建模抽取融合存储及应用。,0.7,openai
知识图谱,affects,知识存储,详细描述知识建模抽取融合存储及应用。,0.7,openai
知识图谱,affects,知识应用,详细描述知识建模抽取融合存储及应用。,0.7,openai
图谱,includes,框架,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
图谱,includes,设计,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
图谱,includes,场景,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
图谱,includes,效果,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
可视化,includes,框架,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
可视化,includes,设计,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
可视化,includes,场景,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
可视化,includes,效果,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
美团,includes,框架,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
美团,includes,设计,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
美团,includes,场景,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
美团,includes,效果,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
文章,includes,框架,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
文章,includes,设计,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
文章,includes,场景,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
文章,includes,效果,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
知识图谱,includes,框架,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
知识图谱,includes,设计,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
知识图谱,includes,场景,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
知识图谱,includes,效果,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
图谱可视化,includes,框架,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
图谱可视化,includes,设计,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
图谱可视化,includes,场景,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
图谱可视化,includes,效果,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向,0.8,pattern
框架,supports,业务,js创建unigraph框架，解决布局策略视觉降噪交互功能等挑战，支持业务应用,0.8,pattern
布局,supports,业务,js创建unigraph框架，解决布局策略视觉降噪交互功能等挑战，支持业务应用,0.8,pattern
策略,supports,业务,js创建unigraph框架，解决布局策略视觉降噪交互功能等挑战，支持业务应用,0.8,pattern
视觉,supports,业务,js创建unigraph框架，解决布局策略视觉降噪交互功能等挑战，支持业务应用,0.8,pattern
功能,supports,业务,js创建unigraph框架，解决布局策略视觉降噪交互功能等挑战，支持业务应用,0.8,pattern
挑战,supports,业务,js创建unigraph框架，解决布局策略视觉降噪交互功能等挑战，支持业务应用,0.8,pattern
知识图谱,used_for,可视化技术,知识图谱可视化技术在美团的实践与探索.,0.9,openai
D3.js,used_for,创建unigraph框架,探讨美团知识图谱可视化技术，利用D3.js创建unigraph框架，解决布局策略视觉降噪交互功能等挑战，支持业务应用.,0.8,openai
unigraph框架,composed_of,D3.js,探讨美团知识图谱可视化技术，利用D3.js创建unigraph框架，解决布局策略视觉降噪交互功能等挑战，支持业务应用.,0.8,openai
知识图谱可视化,defined_as,基本概念,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向.,0.9,openai
unigraph框架,designed_as,交互场景与效果呈现的未来发展方向,文章介绍知识图谱可视化基本概念及其在美团的应用，包括unigraph框架设计，涉及交互场景与效果呈现的未来发展方向.,0.8,openai
阿里云文,includes,银行,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
阿里云文,includes,欺诈,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
阿里云文,includes,社交,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
阿里云文,includes,网络,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
阿里云文,includes,关系,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
阿里云文,includes,分析,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
图谱,includes,银行,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
图谱,includes,欺诈,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
图谱,includes,社交,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
图谱,includes,网络,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
图谱,includes,关系,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
图谱,includes,分析,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
场景,includes,银行,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
场景,includes,欺诈,阿里云文档提供了知识图谱概念及应用场景，包括银行反欺诈和社交网络关系分析等,0.8,pattern
